Date,Number of COVID-19 confirmed deaths registered to date
2021-02-27T00:00:00Z,7129
2021-02-28T00:00:00Z,7131
2021-03-01T00:00:00Z,7131
2021-03-02T00:00:00Z,7164
2021-03-03T00:00:00Z,7371
2021-03-04T00:00:00Z,7398
2021-03-05T00:00:00Z,7409
2021-03-06T00:00:00Z,7421
2021-03-07T00:00:00Z,7421
2021-03-08T00:00:00Z,7422
2021-03-09T00:00:00Z,7441
2021-03-10T00:00:00Z,7461
2021-03-11T00:00:00Z,7483
2021-03-12T00:00:00Z,7500
2021-03-13T00:00:00Z,7508
2021-03-14T00:00:00Z,7510
2021-03-15T00:00:00Z,7510
2021-03-16T00:00:00Z,7517
2021-03-17T00:00:00Z,7529
2021-03-18T00:00:00Z,7536
2021-03-19T00:00:00Z,7544
2021-03-20T00:00:00Z,7552
2021-03-21T00:00:00Z,7552
2021-03-22T00:00:00Z,7552
2021-03-23T00:00:00Z,7559
2021-03-24T00:00:00Z,7562
