Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-09-26,1618,493,379,1246,1379,2196,8318,622,4116,4357,22,60,2413,13
2020-09-27,1638,497,388,1251,1385,2208,8490,630,4174,4397,22,60,2419,17
2020-09-28,1646,501,391,1263,1396,2221,8543,634,4211,4451,22,60,2433,26
2020-09-29,1684,509,399,1299,1420,2275,8845,646,4302,4631,23,60,2483,28
2020-09-30,1703,514,411,1331,1448,2313,9077,653,4375,4791,23,60,2515,30
2020-10-01,1730,515,416,1358,1467,2338,9321,669,4498,4957,23,60,2528,32
2020-10-02,1776,520,429,1381,1492,2362,9645,681,4600,5121,23,60,2558,39
2020-10-03,1810,524,434,1404,1526,2381,9944,700,4752,5264,23,60,2585,44
2020-10-04,1852,530,441,1430,1553,2407,10210,715,4890,5440,23,60,2614,44
2020-10-05,1892,540,446,1452,1589,2431,10452,722,5020,5585,23,60,2647,47
2020-10-06,1932,544,449,1473,1631,2451,10755,728,5187,5749,23,60,2674,50
2020-10-07,1995,549,464,1515,1667,2485,11165,747,5382,5939,23,60,2716,53
2020-10-08,2068,560,471,1537,1701,2525,11570,758,5612,6091,23,60,2758,53
2020-10-09,2152,564,484,1564,1754,2593,12010,772,5918,6283,23,60,2800,56
2020-10-10,2223,567,510,1602,1784,2645,12367,784,6122,6443,24,61,2854,56
2020-10-11,2295,570,547,1634,1829,2684,12663,795,6347,6601,24,62,2890,57
2020-10-12,2383,574,556,1653,1862,2719,13022,807,6591,6713,24,62,2935,58
2020-10-13,2478,585,580,1695,1918,2774,13441,820,6928,6904,24,62,2989,58
2020-10-14,2570,589,595,1743,1976,2816,13978,828,7255,7143,24,63,3047,58
2020-10-15,2681,600,624,1775,2029,2855,14428,842,7629,7304,24,63,3124,58
2020-10-16,2785,605,653,1802,2059,2889,14844,856,7938,7465,26,63,3188,59
2020-10-17,2888,612,663,1829,2099,2927,15279,867,8284,7579,26,63,3221,62
2020-10-18,2926,614,670,1832,2108,2935,15382,874,8382,7614,26,63,3227,62
2020-10-19,2983,619,682,1857,2132,2962,15744,890,8676,7736,26,63,3276,62
2020-10-20,3099,630,698,1903,2177,3016,16244,902,9069,7934,27,64,3339,62
2020-10-21,3204,640,714,1939,2248,3055,16849,921,9589,8164,28,64,3424,64
2020-10-22,3355,646,733,2005,2322,3086,17433,947,10046,8356,29,65,3528,64
2020-10-23,3472,653,750,2053,2359,3103,17926,956,10459,8525,31,65,3599,65
2020-10-24,3646,656,765,2111,2414,3131,18450,970,10780,8691,31,66,3670,68
2020-10-25,3778,661,774,2176,2460,3186,18887,983,11121,8846,31,66,3715,68
2020-10-26,3875,672,793,2217,2504,3218,19315,994,11395,8951,31,66,3775,68
2020-10-27,3971,677,818,2255,2565,3240,19769,1008,11742,9153,31,66,3838,68
2020-10-28,4062,680,831,2291,2605,3268,20220,1026,12034,9305,32,67,3914,68
