Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2021-07-29,5,*,*,*,*,7,12,*,9,12,*,*,*,*,*
2021-07-30,5,*,*,*,5,7,11,*,9,12,*,*,*,*,*
2021-07-31,5,*,*,*,5,7,13,*,9,14,*,*,*,*,*
2021-08-01,5,*,*,*,*,7,12,*,8,14,*,*,*,*,*
2021-08-02,5,*,*,*,*,7,9,*,6,16,*,*,*,*,*
2021-08-03,5,*,*,*,*,8,9,*,7,16,*,*,*,*,*
2021-08-04,*,*,*,*,*,7,9,6,7,16,*,*,*,*,*
2021-08-05,*,*,*,*,*,7,10,6,6,14,*,*,*,*,*
2021-08-06,*,*,*,*,*,7,10,6,6,13,*,*,*,*,*
2021-08-07,*,*,*,*,*,5,8,*,5,8,*,*,*,*,*
2021-08-08,*,*,*,*,*,6,7,*,*,8,*,*,*,*,*
2021-08-09,*,*,*,*,*,5,8,*,5,8,*,*,*,*,*
2021-08-10,*,*,*,*,*,5,7,*,5,8,*,*,*,*,*
2021-08-11,*,*,*,*,*,5,8,*,6,8,*,*,*,*,*
2021-08-12,*,*,*,*,*,6,8,*,6,9,*,*,*,*,*
2021-08-13,*,*,*,*,*,6,7,*,6,10,*,*,*,*,*
2021-08-14,*,*,*,*,*,6,6,*,6,10,*,*,*,*,*
2021-08-15,*,*,*,*,*,6,5,*,6,9,*,*,*,*,*
2021-08-16,*,*,*,*,*,5,5,*,9,8,*,*,*,*,*
2021-08-17,*,*,*,*,*,5,8,*,7,7,*,*,*,*,*
2021-08-18,*,*,*,*,*,*,8,*,7,6,*,*,*,*,*
2021-08-19,*,*,*,*,*,*,7,*,5,7,*,*,*,*,*
2021-08-20,*,*,*,*,*,*,6,*,5,7,*,*,*,*,*
2021-08-21,*,*,*,*,*,*,5,*,5,7,*,*,*,*,*
2021-08-22,*,*,*,*,*,*,6,*,5,7,*,*,*,*,*
2021-08-23,*,*,5,*,*,*,9,*,6,8,*,*,*,*,*
2021-08-24,*,*,*,*,*,*,9,*,7,8,*,*,*,*,*
2021-08-25,*,*,*,*,*,6,9,*,8,7,*,*,*,*,*
2021-08-26,*,*,*,*,*,7,9,*,8,6,*,*,*,*,*
2021-08-27,*,*,*,*,*,6,11,*,7,7,*,*,*,*,*
2021-08-28,*,*,*,*,5,5,9,*,8,7,*,*,*,*,*
2021-08-29,*,*,*,*,6,6,9,*,8,8,*,*,*,*,*
2021-08-30,*,*,*,*,5,6,11,*,8,8,*,*,*,*,*
2021-08-31,*,*,5,*,5,6,10,*,8,8,*,*,5,*,*
2021-09-01,*,*,6,*,*,6,13,*,8,8,*,*,6,*,*
2021-09-02,*,*,5,*,*,7,15,*,7,6,*,*,6,*,*
2021-09-03,*,*,5,*,5,8,16,*,8,7,*,*,5,*,*
2021-09-04,*,*,*,*,5,5,15,*,9,8,*,*,5,*,*
2021-09-05,*,*,*,*,5,7,15,*,9,9,*,*,5,*,*
2021-09-06,6,*,*,*,6,9,15,*,9,10,*,*,6,*,*
2021-09-07,6,*,*,*,6,7,17,*,12,12,*,*,7,*,*
2021-09-08,8,*,*,*,7,7,17,*,14,12,*,*,7,*,*
